ACC,NPV,PPV,SEN,SPC,config,cost_matrix
0.882352941176,1.0,0.8,1.0,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 275, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.764705882353,0.777777777778,0.75,0.75,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 275, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",15.0
0.9,0.833333333333,1.0,0.8,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 275, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""adam"", ""nb_epoch"": 275, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""adam"", ""nb_epoch"": 275, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.888888888889,1.0,0.818181818182,1.0,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 275, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.888888888889,0.888888888889,0.888888888889,0.888888888889,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 275, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",7.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 275, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",0.0
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 275, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
0.944444444444,1.0,0.9,1.0,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 275, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",2.5
0.941176470588,0.9,1.0,0.875,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 275, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.764705882353,0.777777777778,0.75,0.75,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 275, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",15.0
0.95,0.909090909091,1.0,0.9,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.736842105263,0.833333333333,0.692307692308,0.9,0.555555555556,"{""optimizer"": ""sgd"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",15.0
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.888888888889,1.0,0.818181818182,1.0,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.777777777778,0.857142857143,0.727272727273,0.888888888889,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",0.0
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
0.944444444444,1.0,0.9,1.0,0.888888888889,"{""optimizer"": ""sgd"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",2.5
0.941176470588,1.0,0.888888888889,1.0,0.888888888889,"{""optimizer"": ""sgd"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",2.5
0.764705882353,0.777777777778,0.75,0.75,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",15.0
0.9,0.833333333333,1.0,0.8,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""adam"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""adam"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.888888888889,1.0,0.818181818182,1.0,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.888888888889,0.888888888889,0.888888888889,0.888888888889,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",7.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",0.0
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
0.944444444444,1.0,0.9,1.0,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",2.5
0.941176470588,0.9,1.0,0.875,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.764705882353,0.777777777778,0.75,0.75,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 300, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",15.0
0.95,0.909090909091,1.0,0.9,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.736842105263,0.833333333333,0.692307692308,0.9,0.555555555556,"{""optimizer"": ""sgd"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",15.0
0.888888888889,1.0,0.818181818182,1.0,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.777777777778,0.857142857143,0.727272727273,0.888888888889,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",0.0
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
0.944444444444,1.0,0.9,1.0,0.888888888889,"{""optimizer"": ""sgd"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",2.5
0.941176470588,0.9,1.0,0.875,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.764705882353,0.777777777778,0.75,0.75,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",15.0
0.95,0.909090909091,1.0,0.9,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.736842105263,0.75,0.727272727273,0.8,0.666666666667,"{""optimizer"": ""adam"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",17.5
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""adam"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.944444444444,1.0,0.9,1.0,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",2.5
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",0.0
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
0.944444444444,1.0,0.9,1.0,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",2.5
0.941176470588,0.9,1.0,0.875,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.764705882353,0.777777777778,0.75,0.75,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 325, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",15.0
0.95,0.909090909091,1.0,0.9,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.736842105263,0.75,0.727272727273,0.8,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",17.5
0.736842105263,0.833333333333,0.692307692308,0.9,0.555555555556,"{""optimizer"": ""sgd"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",15.0
0.888888888889,1.0,0.818181818182,1.0,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.777777777778,0.857142857143,0.727272727273,0.888888888889,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",0.0
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
0.944444444444,1.0,0.9,1.0,0.888888888889,"{""optimizer"": ""sgd"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",2.5
0.941176470588,0.9,1.0,0.875,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.764705882353,0.777777777778,0.75,0.75,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",15.0
0.9,0.833333333333,1.0,0.8,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
0.736842105263,0.75,0.727272727273,0.8,0.666666666667,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",17.5
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.888888888889,1.0,0.818181818182,1.0,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.888888888889,0.888888888889,0.888888888889,0.888888888889,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",7.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",0.0
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
0.944444444444,1.0,0.9,1.0,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",2.5
0.941176470588,0.9,1.0,0.875,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.764705882353,0.777777777778,0.75,0.75,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 350, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",15.0
0.95,0.909090909091,1.0,0.9,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.888888888889,1.0,0.818181818182,1.0,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.888888888889,0.888888888889,0.888888888889,0.888888888889,0.888888888889,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",7.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",0.0
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
0.944444444444,1.0,0.9,1.0,0.888888888889,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",2.5
0.941176470588,0.9,1.0,0.875,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.764705882353,0.777777777778,0.75,0.75,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",15.0
0.95,0.909090909091,1.0,0.9,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.888888888889,1.0,0.818181818182,1.0,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.888888888889,0.888888888889,0.888888888889,0.888888888889,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",7.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",0.0
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
0.944444444444,1.0,0.9,1.0,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",2.5
0.941176470588,0.9,1.0,0.875,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.764705882353,0.777777777778,0.75,0.75,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 375, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",15.0
0.95,0.909090909091,1.0,0.9,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.888888888889,1.0,0.818181818182,1.0,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.777777777778,0.857142857143,0.727272727273,0.888888888889,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",0.0
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
0.944444444444,1.0,0.9,1.0,0.888888888889,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",2.5
0.941176470588,0.9,1.0,0.875,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.764705882353,0.777777777778,0.75,0.75,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",15.0
0.9,0.833333333333,1.0,0.8,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.888888888889,1.0,0.818181818182,1.0,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.777777777778,0.857142857143,0.727272727273,0.888888888889,0.666666666667,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",0.0
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
0.944444444444,1.0,0.9,1.0,0.888888888889,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",2.5
0.941176470588,0.9,1.0,0.875,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.764705882353,0.777777777778,0.75,0.75,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 400, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",15.0
0.95,0.909090909091,1.0,0.9,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.736842105263,0.75,0.727272727273,0.8,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",17.5
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.888888888889,1.0,0.818181818182,1.0,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
1.0,1.0,1.0,1.0,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",0.0
0.833333333333,0.875,0.8,0.888888888889,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",10.0
0.944444444444,1.0,0.9,1.0,0.888888888889,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",2.5
0.941176470588,0.9,1.0,0.875,1.0,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.764705882353,0.777777777778,0.75,0.75,0.777777777778,"{""optimizer"": ""sgd"", ""nb_epoch"": 425, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",15.0
0.95,0.909090909091,1.0,0.9,1.0,"{""optimizer"": ""adam"", ""nb_epoch"": 425, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
0.736842105263,0.75,0.727272727273,0.8,0.666666666667,"{""optimizer"": ""adam"", ""nb_epoch"": 425, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",17.5
0.789473684211,0.857142857143,0.75,0.9,0.666666666667,"{""optimizer"": ""adam"", ""nb_epoch"": 425, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",12.5
0.888888888889,1.0,0.818181818182,1.0,0.777777777778,"{""optimizer"": ""adam"", ""nb_epoch"": 425, ""batch_size"": 25, ""dropout_1"": 0.15, ""dropout_2"": 0.55, ""output_dim"": 2}",5.0
